FileName,Alpha,CharRuleCount,MCBRuleCount,CharConditionCount,MCBConditionCount
wine-35,1,31,38,107,134
wine-35,0.9,31,38,107,134
wine-35,0.8,32,38,112,134
wine-35,0.7,34,38,125,134
wine-35,0.6,34,38,125,134
wine-35,0.5,37,38,144,134
wine-35,0.4,37,38,144,134
wine-35,0.3,37,38,144,134
wine-35,0.2,33,38,121,134
wine-35,0.1,33,38,121,134
wine-35,0,33,38,121,134
iris-35,1,23,23,31,39
iris-35,0.9,23,23,31,39
iris-35,0.8,23,23,31,39
iris-35,0.7,23,23,31,39
iris-35,0.6,23,23,31,39
iris-35,0.5,23,23,31,39
iris-35,0.4,23,23,31,39
iris-35,0.3,23,23,31,39
iris-35,0.2,23,23,31,39
iris-35,0.1,23,23,31,39
iris-35,0,23,23,31,39
echo-35,1,15,15,18,18
echo-35,0.9,15,15,18,18
echo-35,0.8,15,15,18,18
echo-35,0.7,15,15,18,18
echo-35,0.6,15,15,18,18
echo-35,0.5,15,15,18,18
echo-35,0.4,15,15,18,18
echo-35,0.3,15,15,18,18
echo-35,0.2,15,15,18,18
echo-35,0.1,15,15,18,18
echo-35,0,15,15,18,18
lymphography-35,1,37,38,130,137
lymphography-35,0.9,37,38,130,137
lymphography-35,0.8,37,38,130,137
lymphography-35,0.7,37,38,130,137
lymphography-35,0.6,37,38,130,137
lymphography-35,0.5,43,38,155,137
lymphography-35,0.4,43,38,155,137
lymphography-35,0.3,43,38,155,137
lymphography-35,0.2,43,38,155,137
lymphography-35,0.1,43,38,155,137
lymphography-35,0,43,38,155,137
hepatitis-35,1,31,31,124,124
hepatitis-35,0.9,31,31,124,124
hepatitis-35,0.8,31,31,124,124
hepatitis-35,0.7,31,31,124,124
hepatitis-35,0.6,31,31,124,124
hepatitis-35,0.5,31,31,124,124
hepatitis-35,0.4,31,31,124,124
hepatitis-35,0.3,31,31,124,124
hepatitis-35,0.2,31,31,124,124
hepatitis-35,0.1,31,31,124,124
hepatitis-35,0,31,31,124,124
breast-35,1,87,87,292,284
breast-35,0.9,83,87,277,284
breast-35,0.8,84,87,278,284
breast-35,0.7,86,87,284,284
breast-35,0.6,80,87,256,284
breast-35,0.5,83,87,251,284
breast-35,0.4,83,87,251,284
breast-35,0.3,87,87,263,284
breast-35,0.2,91,87,278,284
breast-35,0.1,90,87,272,284
breast-35,0,90,87,272,284
bank-35,1,9,9,9,9
bank-35,0.9,9,9,9,9
bank-35,0.8,9,9,9,9
bank-35,0.7,9,9,9,9
bank-35,0.6,9,9,9,9
bank-35,0.5,9,9,9,9
bank-35,0.4,9,9,9,9
bank-35,0.3,9,9,9,9
bank-35,0.2,9,9,9,9
bank-35,0.1,9,9,9,9
bank-35,0,9,9,9,9
