FileName,Alpha,CharRuleCount,MCBRuleCount,CharConditionCount,MCBConditionCount,StarCharRuleCount,StarMCBRuleCount,StarCharConditionCount,StarMCBConditionCount
wine-35,1,31,38,107,134,6,21,45,200
wine-35,0.9,31,38,107,134,13,21,92,200
wine-35,0.8,32,38,112,134,19,18,140,163
wine-35,0.7,34,38,125,134,19,18,141,163
wine-35,0.6,34,38,125,134,19,20,133,172
wine-35,0.5,37,38,144,134,16,16,93,130
wine-35,0.4,37,38,144,134,19,15,118,114
wine-35,0.3,37,38,144,134,20,19,123,152
wine-35,0.2,33,38,121,134,16,21,85,170
wine-35,0.1,33,38,121,134,16,17,91,133
wine-35,0,33,38,121,134,16,17,91,133
iris-35,1,23,23,31,39,12,24,110,147
iris-35,0.9,23,23,31,39,12,24,112,123
iris-35,0.8,23,23,31,39,18,25,117,115
iris-35,0.7,23,23,31,39,11,32,110,110
iris-35,0.6,23,23,31,39,15,32,102,94
iris-35,0.5,23,23,31,39,12,28,88,79
iris-35,0.4,23,23,31,39,11,28,64,71
iris-35,0.3,23,23,31,39,9,23,43,57
iris-35,0.2,23,23,31,39,10,10,27,27
iris-35,0.1,23,23,31,39,10,10,27,27
iris-35,0,23,23,31,39,10,10,27,27
echo-35,1,15,15,18,18,17,13,89,79
echo-35,0.9,15,15,18,18,17,13,91,79
echo-35,0.8,15,15,18,18,17,13,84,81
echo-35,0.7,15,15,18,18,17,17,68,79
echo-35,0.6,15,15,18,18,13,13,54,73
echo-35,0.5,15,15,18,18,10,10,41,59
echo-35,0.4,15,15,18,18,10,10,36,47
echo-35,0.3,15,15,18,18,10,10,24,28
echo-35,0.2,15,15,18,18,10,10,18,18
echo-35,0.1,15,15,18,18,10,10,18,18
echo-35,0,15,15,18,18,10,10,18,18
lymphography-35,1,37,38,130,137,22,26,209,267
lymphography-35,0.9,37,38,130,137,23,26,220,267
lymphography-35,0.8,37,38,130,137,19,26,177,267
lymphography-35,0.7,37,38,130,137,20,26,163,267
lymphography-35,0.6,37,38,130,137,21,24,174,236
lymphography-35,0.5,43,38,155,137,21,29,187,291
lymphography-35,0.4,43,38,155,137,21,29,176,223
lymphography-35,0.3,43,38,155,137,20,28,152,197
lymphography-35,0.2,43,38,155,137,20,28,148,148
lymphography-35,0.1,43,38,155,137,20,28,148,148
lymphography-35,0,43,38,155,137,20,28,148,148
hepatitis-35,1,31,31,124,124,10,17,102,153
hepatitis-35,0.9,31,31,124,124,8,17,73,150
hepatitis-35,0.8,31,31,124,124,9,16,78,144
hepatitis-35,0.7,31,31,124,124,9,16,75,109
hepatitis-35,0.6,31,31,124,124,12,15,119,103
hepatitis-35,0.5,31,31,124,124,12,18,117,90
hepatitis-35,0.4,31,31,124,124,9,18,76,86
hepatitis-35,0.3,31,31,124,124,9,18,73,73
hepatitis-35,0.2,31,31,124,124,10,16,88,90
hepatitis-35,0.1,31,31,124,124,8,16,60,74
hepatitis-35,0,31,31,124,124,9,16,68,68
breast-35,1,87,87,292,284,11,67,74,468
breast-35,0.9,83,87,277,284,15,67,100,468
breast-35,0.8,84,87,278,284,29,61,173,376
breast-35,0.7,86,87,284,284,20,50,98,264
breast-35,0.6,80,87,256,284,9,58,31,227
breast-35,0.5,83,87,251,284,15,47,57,168
breast-35,0.4,83,87,251,284,15,35,44,139
breast-35,0.3,87,87,263,284,13,29,31,85
breast-35,0.2,91,87,278,284,4,25,3,51
breast-35,0.1,90,87,272,284,4,11,3,33
breast-35,0,90,87,272,284,5,8,4,10
bank-35,1,9,9,9,9,28,23,65,29
bank-35,0.9,9,9,9,9,28,23,69,29
bank-35,0.8,9,9,9,9,28,23,62,29
bank-35,0.7,9,9,9,9,26,23,54,29
bank-35,0.6,9,9,9,9,23,21,47,25
bank-35,0.5,9,9,9,9,14,17,28,17
bank-35,0.4,9,9,9,9,10,14,17,13
bank-35,0.3,9,9,9,9,7,7,7,7
bank-35,0.2,9,9,9,9,7,7,7,7
bank-35,0.1,9,9,9,9,7,7,7,7
bank-35,0,9,9,9,9,7,7,7,7
