FileName,Alpha,CharRuleCount,MCBRuleCount,CharConditionCount,MCBConditionCount
"hepatitis-35","1","10","17","102","200"
"hepatitis-35","0.9","8","17","73","200"
"hepatitis-35","0.8","9","16","78","184"
"hepatitis-35","0.7","9","16","75","184"
"hepatitis-35","0.6","12","15","119","156"
"hepatitis-35","0.5","12","18","117","198"
"hepatitis-35","0.4","9","18","76","198"
"hepatitis-35","0.3","9","18","73","197"
"hepatitis-35","0.2","10","16","88","159"
"hepatitis-35","0.1","8","16","60","167"
"hepatitis-35","0","9","16","68","167"
